Feature,layer,n_methods,wgcna_supported,wgcna_is_hub,wgcna_module,wgcna_module_trait_correlation,wgcna_module_trait_p_value,wgcna_hub_score,integrated_evidence_score,methods
19_F16DP_0.0 : Conc. (nM),central_carbon,4,False,False,,,,,4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon"
48_SUCC_0.0 : Conc. (nM),central_carbon,4,False,False,,,,,4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon"
54_UTP0.0 : Conc. (nM),central_carbon,4,False,False,,,,,4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon"
47_SHIK 0.0 : Conc. (nM),central_carbon,4,False,False,,,,,4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon"
GLU,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
GLY,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
VAL,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
ASP,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
GABA,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
SER,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
TYR,amino_acids,4,False,False,,,,,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids"
"2,4-Hexadienal Area",aromatics,4,False,False,,,,,4,"aromatics_splsda, aromatics_rf, aromatics_ordinal, diablo_aromatics"
Hexanal Area,aromatics,4,False,False,,,,,4,"aromatics_splsda, aromatics_rf, aromatics_ordinal, diablo_aromatics"
