Feature,n_methods,methods,layer,wgcna_supported,wgcna_module,wgcna_module_size,wgcna_module_trait_correlation,wgcna_module_trait_p_value,wgcna_is_hub,wgcna_hub_score,wgcna_support_score,integrated_evidence_score
19_F16DP_0.0 : Conc. (nM),4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon",central_carbon,False,,,,,False,,0,4
48_SUCC_0.0 : Conc. (nM),4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon",central_carbon,False,,,,,False,,0,4
54_UTP0.0 : Conc. (nM),4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon",central_carbon,False,,,,,False,,0,4
47_SHIK 0.0 : Conc. (nM),4,"central_carbon_splsda, central_carbon_rf, central_carbon_ordinal, diablo_central_carbon",central_carbon,False,,,,,False,,0,4
GLU,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids",amino_acids,False,,,,,False,,0,4
GLY,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids",amino_acids,False,,,,,False,,0,4
VAL,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids",amino_acids,False,,,,,False,,0,4
ASP,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids",amino_acids,False,,,,,False,,0,4
GABA,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids",amino_acids,False,,,,,False,,0,4
SER,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids",amino_acids,False,,,,,False,,0,4
TYR,4,"amino_acids_splsda, amino_acids_rf, amino_acids_ordinal, diablo_amino_acids",amino_acids,False,,,,,False,,0,4
"2,4-Hexadienal Area",4,"aromatics_splsda, aromatics_rf, aromatics_ordinal, diablo_aromatics",aromatics,False,,,,,False,,0,4
Hexanal Area,4,"aromatics_splsda, aromatics_rf, aromatics_ordinal, diablo_aromatics",aromatics,False,,,,,False,,0,4
A0A804JSQ2,3,"proteomics_splsda, proteomics_ordinal, diablo_proteomics",proteomics,True,2.0,270.0,-0.9486832980505138,9.584590571929182e-05,False,0.6789288615946952,1,4
15_CMP 0.0 : Conc. (nM),3,"central_carbon_splsda, central_carbon_ordinal, diablo_central_carbon",central_carbon,False,,,,,False,,0,3
13_ATP_0.0 : Conc. (nM),3,"central_carbon_splsda, central_carbon_ordinal, diablo_central_carbon",central_carbon,False,,,,,False,,0,3
28_GMP 0.0 : Conc. (nM),3,"central_carbon_splsda, central_carbon_ordinal, diablo_central_carbon",central_carbon,False,,,,,False,,0,3
21_FUM_0.0 : Conc. (nM),3,"central_carbon_splsda, central_carbon_rf, diablo_central_carbon",central_carbon,False,,,,,False,,0,3
ILE,3,"amino_acids_splsda, amino_acids_rf, diablo_amino_acids",amino_acids,False,,,,,False,,0,3
