Feature,Selection_Frequency,Mean_VIP,Std_VIP,Stable
ASP,1.0,1.8284088940729775,0.03828352384189344,True
VAL,1.0,1.781086941000524,0.05882458813611924,True
GABA,1.0,1.479683857912852,0.06308116634622718,True
GLY,1.0,1.2247352175287542,0.047234656866647295,True
GLN,1.0,1.5927969042457104,0.05160337101003472,True
ILE,1.0,1.1894239332869498,0.05961571647562079,True
PRO,1.0,1.210294173264002,0.05002399007416249,True
GLU,0.99,1.5287959341292956,0.15985101380948216,True
LEU,0.98,1.2836126522785387,0.18745949999137487,True
PHE,0.84,0.9560586945481611,0.42931913200795574,True
ALA,0.11,0.12061210313257723,0.34322758557815136,False
CYS,0.05,0.0594276123578403,0.2593960848075043,False
TYR,0.01,0.01081906552089302,0.10764834274521975,False
SER,0.0,0.0,0.0,False
ASN,0.0,0.0,0.0,False
HIS,0.0,0.0,0.0,False
THR,0.0,0.0,0.0,False
ARG,0.0,0.0,0.0,False
MET,0.0,0.0,0.0,False
TRP,0.0,0.0,0.0,False
LYS,0.0,0.0,0.0,False
