Feature,Selection_Frequency,Mean_VIP,Std_VIP,Stable
2-Pentanone Area,0.87,2.8851256212411123,1.1187578244837446,True
Hexyl acetate Area,0.86,2.401532587746963,0.9786065417542278,True
Hexanal Area,0.83,2.670197573012749,1.2356983767041358,True
2-Methyl-1-butanol Area,0.74,2.585943374801094,1.545201257263124,False
3-Pentanone Area,0.74,2.533835984467405,1.5078969193302765,False
Isoamyl alcohol Area,0.68,2.4084668695583726,1.662702065047583,False
"2,4-Hexadienal Area",0.64,1.8159450093643346,1.3668380789025467,False
2-Nonanol Area,0.52,1.8028186374237742,1.738989995087722,False
Propyl butyrate Area,0.45,1.2403655226797923,1.3737431460279805,False
(Z)-2-Penten-1-ol Area,0.43,1.1726987040717936,1.3518153246728741,False
trans-2-Hexenal Area,0.31,0.8308867935208398,1.2414502455887537,False
Isoamyl acetate Area,0.31,1.0485552736456996,1.5658971831210207,False
Propyl acetate Area,0.29,0.85348054346707,1.3393004146258427,False
2-Methylbutyl acetate Area,0.29,0.9828324860672727,1.5389966671265074,False
trans-2-Hexen-1-ol Area,0.28,0.7614529592510441,1.2242249854765117,False
Methyl isovalerate Area,0.24,0.6977710047287979,1.2485436115181527,False
(Z)-hex-2-en-1-ol Area,0.22,0.607611616371694,1.1461723431330313,False
(Z)-4-Heptenal Area,0.21,0.6166535084726769,1.2013131854665824,False
2-Heptanone Area,0.17,0.5239860984643246,1.158326844220137,False
Ethyl 3-methylbutanoate Area,0.16,0.495761903642029,1.1373940864853602,False
trans-2-Penten-1-ol Area,0.16,0.4259302481386311,0.9774505657638087,False
Heptyl acetate Area,0.13,0.4161799948802977,1.0779799637282947,False
2-Pentylfuran Area,0.11,0.3585014050210981,1.020542884901549,False
Hexyl butyrate Area,0.09,0.3069400188758307,0.9770659739121369,False
1-Butanol Area,0.07,0.2120218294767772,0.7752415396688587,False
Isoamyl butyrate Area,0.04,0.12640253166850487,0.6192799226988162,False
3-Methyl-2-buten-1-ol Area,0.03,0.09973810263589593,0.5684171969490368,False
"(E,E)-2,4-nonadienal Area",0.03,0.09682403778756823,0.5506953041180123,False
2-Ethylfuran Area,0.02,0.05470607536561603,0.38314450910256814,False
2-Heptanol Area,0.01,0.027580123239245538,0.2744187613690165,False
3-Mercapto-3-methylbutyl formate Area,0.01,0.030439333535283976,0.3028675446150584,False
3-Octanone Area,0.01,0.025151399987720726,0.25025327013425774,False
Propyl hexanoate Area,0.01,0.025687055127114344,0.25558297147743997,False
Butyl acetate Area,0.01,0.03107806604837284,0.30922285287700757,False
Allyl isothiocyanate Area,0.01,0.030550819690224176,0.3039768178508262,False
Butyric acid Area,0.01,0.031020282492862393,0.3086479137589651,False
Acetoin Area,0.01,0.03128944097533284,0.3113260068454522,False
2-Methylpentan-2-ol Area,0.0,0.0,0.0,False
2-Hexanone Area,0.0,0.0,0.0,False
3-Hexanone Area,0.0,0.0,0.0,False
2-Pentanol Area,0.0,0.0,0.0,False
(Z)-Linalool oxide Area,0.0,0.0,0.0,False
(E)-Linalool oxide Area,0.0,0.0,0.0,False
(Z)-beta-Ocimene Area,0.0,0.0,0.0,False
1-Heptanol Area,0.0,0.0,0.0,False
1-Hexanol Area,0.0,0.0,0.0,False
1-Hexen-3-one Area,0.0,0.0,0.0,False
1-Nonanol Area,0.0,0.0,0.0,False
1-Octen-3-ol Area,0.0,0.0,0.0,False
1-Octen-3-one Area,0.0,0.0,0.0,False
1-Pentanol Area,0.0,0.0,0.0,False
(E)-2-Octen-1-ol Area,0.0,0.0,0.0,False
"(2E,6Z)-nona-2,6-dienal Area",0.0,0.0,0.0,False
(3Z)-3-Hexenyl acetate Area,0.0,0.0,0.0,False
(E)-2-Nonenal Area,0.0,0.0,0.0,False
"2,6-Nonadienol Area",0.0,0.0,0.0,False
"2,4-Heptadienal Area",0.0,0.0,0.0,False
Butyl decanoate Area,0.0,0.0,0.0,False
Butyl 2-methylbutyrate Area,0.0,0.0,0.0,False
6-Methyl-5-hepten-2-one Area,0.0,0.0,0.0,False
6-Methoxyeugenol Area,0.0,0.0,0.0,False
4-Ethylphenol Area,0.0,0.0,0.0,False
Acetal Area,0.0,0.0,0.0,False
Acetophenone Area,0.0,0.0,0.0,False
Benzaldehyde Area,0.0,0.0,0.0,False
3-Pentanol Area,0.0,0.0,0.0,False
3-Methyl-2-butanone Area,0.0,0.0,0.0,False
Guaiacol Area,0.0,0.0,0.0,False
Geranyl isovalerate Area,0.0,0.0,0.0,False
Geranyl butyrate Area,0.0,0.0,0.0,False
Eugenol Area,0.0,0.0,0.0,False
Ethyl vinyl ketone Area,0.0,0.0,0.0,False
Ethyl valerate Area,0.0,0.0,0.0,False
Ethyl stearate Area,0.0,0.0,0.0,False
Ethyl octanoate Area,0.0,0.0,0.0,False
Ethyl laurate Area,0.0,0.0,0.0,False
Ethyl isobutyrate Area,0.0,0.0,0.0,False
Ethyl butanoate Area,0.0,0.0,0.0,False
Ethyl benzoate Area,0.0,0.0,0.0,False
Ethyl 2-methylbutyrate Area,0.0,0.0,0.0,False
Butyl hexanoate Area,0.0,0.0,0.0,False
Heptanal Area,0.0,0.0,0.0,False
Isobutyric acid Area,0.0,0.0,0.0,False
Pentyl acetate Area,0.0,0.0,0.0,False
Octyl acetate Area,0.0,0.0,0.0,False
Nonyl acetate Area,0.0,0.0,0.0,False
Neryl acetate Area,0.0,0.0,0.0,False
Methyl isobutyl ketone Area,0.0,0.0,0.0,False
Isopropyl hexanoate Area,0.0,0.0,0.0,False
Propanoic acid Area,0.0,0.0,0.0,False
Pentyl butyrate Area,0.0,0.0,0.0,False
Tetrahydrothiophene Area,0.0,0.0,0.0,False
Tetradecanal Area,0.0,0.0,0.0,False
Phenylacetaldehyde Area,0.0,0.0,0.0,False
alpha-Thujone Area,0.0,0.0,0.0,False
gamma-Undecalactone Area,0.0,0.0,0.0,False
gamma-Terpinene Area,0.0,0.0,0.0,False
cis-3-Hexen-1-ol Area,0.0,0.0,0.0,False
trans-2-Heptenal Area,0.0,0.0,0.0,False
