Feature,Selection_Frequency,Mean_VIP,Std_VIP,Stable
33_LAC_0.0 : Conc. (nM),1.0,2.4612572180567183,0.21070305624132088,True
19_F16DP_0.0 : Conc. (nM),1.0,1.8983381961522725,0.3216171879292603,True
54_UTP0.0 : Conc. (nM),0.99,1.6596439567975967,0.19421101512784153,True
13_ATP_0.0 : Conc. (nM),0.99,1.9627972222726746,0.34132838236471447,True
DHAP_0.0 : Conc. (nM),0.99,1.4135140035133589,0.18145557284003325,True
48_SUCC_0.0 : Conc. (nM),0.98,1.7123565605312556,0.30695955882760684,True
15_CMP 0.0 : Conc. (nM),0.98,1.3267945935710406,0.2145829255797879,True
11_AMP 0.0 : Conc. (nM),0.98,1.36175714608107,0.22145863795169135,True
21_FUM_0.0 : Conc. (nM),0.72,1.8652363843420119,1.2437709305793025,False
32_KGA_0.0 : Conc. (nM),0.6,0.8274922953068906,0.6817489755221389,False
47_SHIK 0.0 : Conc. (nM),0.36,0.45401649102870023,0.6084336141778188,False
10_ADP 0.0 : Conc. (nM),0.29,0.46824276878518967,0.733742529760117,False
8_ACoA_0.0 : Conc. (nM),0.04,0.06323099851691501,0.30979261099425315,False
44_R5P_0.0 : Conc. (nM),0.01,0.016154891615676452,0.1607391420541712,False
6_6PG_0.0 : Conc. (nM),0.01,0.016329959788564722,0.16248104838078173,False
4_3DHSA 0.0 : Conc. (nM),0.0,0.0,0.0,False
55_X5P_0.0 : Conc. (nM),0.0,0.0,0.0,False
49_UDP 0.0 : Conc. (nM),0.0,0.0,0.0,False
53_UMP 0.0 : Conc. (nM),0.0,0.0,0.0,False
28_GMP 0.0 : Conc. (nM),0.0,0.0,0.0,False
35_NAD 0.0 : Conc. (nM),0.0,0.0,0.0,False
45_RL5P_0.0 : Conc. (nM),0.0,0.0,0.0,False
51_UDPGA 0.0 : Conc. (nM),0.0,0.0,0.0,False
CoA Neg 0.0 : Conc. (nM),0.0,0.0,0.0,False
23_G6P_0.0 : Conc. (nM),0.0,0.0,0.0,False
22_G1P_0.0 : Conc. (nM),0.0,0.0,0.0,False
20_F6P_0.0 : Conc. (nM),0.0,0.0,0.0,False
SH7P 0.0 : Conc. (nM),0.0,0.0,0.0,False
57_G3P_0.0 : Conc. (nM),0.0,0.0,0.0,False
34_MAL_0.0 : Conc. (nM),0.0,0.0,0.0,False
2_3PG_0.0 : Conc. (nM),0.0,0.0,0.0,False
31_CIT_0.0 : Conc. (nM),0.0,0.0,0.0,False
30_ISO_0.0 : Conc. (nM),0.0,0.0,0.0,False
