Feature,Selection_Frequency,Mean_VIP,Std_VIP,Stable
ASP,1.0,1.511187026241551,0.18048232269773884,True
PRO,1.0,1.5220771475264998,0.10865932086756955,True
GABA,1.0,1.8798959519685012,0.162425421723544,True
GLY,1.0,1.5519178381380343,0.13015283130875974,True
GLN,1.0,1.4065514637206507,0.16828898873717188,True
PHE,0.98,1.2942360759518923,0.2254089289664757,True
VAL,0.93,1.2336718576054642,0.37446584226902185,True
GLU,0.91,1.0919704968511348,0.3659303805602548,True
ILE,0.82,1.1565327302446158,0.5637846346190717,True
LEU,0.82,0.8864851614253655,0.43448392988297624,True
TYR,0.28,0.3734179313893432,0.6008690011594664,False
ALA,0.24,0.3331721689907788,0.5933308962441499,False
CYS,0.02,0.03303711214754423,0.2317762446421642,False
SER,0.0,0.0,0.0,False
ASN,0.0,0.0,0.0,False
HIS,0.0,0.0,0.0,False
THR,0.0,0.0,0.0,False
ARG,0.0,0.0,0.0,False
MET,0.0,0.0,0.0,False
TRP,0.0,0.0,0.0,False
LYS,0.0,0.0,0.0,False
