Feature,VIP,Block,Important
21_FUM_0.0 : Conc. (nM),2.9219648321317924,central_carbon,True
33_LAC_0.0 : Conc. (nM),2.3488552086113765,central_carbon,True
13_ATP_0.0 : Conc. (nM),2.217958862193372,central_carbon,True
48_SUCC_0.0 : Conc. (nM),2.1517481929641558,central_carbon,True
54_UTP0.0 : Conc. (nM),1.7345088861336557,central_carbon,True
19_F16DP_0.0 : Conc. (nM),1.5893447990789693,central_carbon,True
DHAP_0.0 : Conc. (nM),1.1971907856829576,central_carbon,True
44_R5P_0.0 : Conc. (nM),1.1035489228716673,central_carbon,True
15_CMP 0.0 : Conc. (nM),1.100006799763629,central_carbon,True
47_SHIK 0.0 : Conc. (nM),0.0,central_carbon,False
35_NAD 0.0 : Conc. (nM),0.0,central_carbon,False
28_GMP 0.0 : Conc. (nM),0.0,central_carbon,False
53_UMP 0.0 : Conc. (nM),0.0,central_carbon,False
11_AMP 0.0 : Conc. (nM),0.0,central_carbon,False
55_X5P_0.0 : Conc. (nM),0.0,central_carbon,False
45_RL5P_0.0 : Conc. (nM),0.0,central_carbon,False
4_3DHSA 0.0 : Conc. (nM),0.0,central_carbon,False
8_ACoA_0.0 : Conc. (nM),0.0,central_carbon,False
10_ADP 0.0 : Conc. (nM),0.0,central_carbon,False
49_UDP 0.0 : Conc. (nM),0.0,central_carbon,False
51_UDPGA 0.0 : Conc. (nM),0.0,central_carbon,False
57_G3P_0.0 : Conc. (nM),0.0,central_carbon,False
SH7P 0.0 : Conc. (nM),0.0,central_carbon,False
CoA Neg 0.0 : Conc. (nM),0.0,central_carbon,False
23_G6P_0.0 : Conc. (nM),0.0,central_carbon,False
22_G1P_0.0 : Conc. (nM),0.0,central_carbon,False
20_F6P_0.0 : Conc. (nM),0.0,central_carbon,False
32_KGA_0.0 : Conc. (nM),0.0,central_carbon,False
34_MAL_0.0 : Conc. (nM),0.0,central_carbon,False
6_6PG_0.0 : Conc. (nM),0.0,central_carbon,False
2_3PG_0.0 : Conc. (nM),0.0,central_carbon,False
31_CIT_0.0 : Conc. (nM),0.0,central_carbon,False
30_ISO_0.0 : Conc. (nM),0.0,central_carbon,False
ASP,1.737636606576655,amino_acids,True
GABA,1.6666717530867146,amino_acids,True
GLN,1.6156970505936825,amino_acids,True
VAL,1.469554819056287,amino_acids,True
PRO,1.3913248722997822,amino_acids,True
GLY,1.379845372627933,amino_acids,True
GLU,1.351999554724415,amino_acids,True
ILE,1.3132136531368266,amino_acids,True
LEU,1.252759305707528,amino_acids,True
PHE,1.212913451157758,amino_acids,True
SER,0.0,amino_acids,False
CYS,0.0,amino_acids,False
ASN,0.0,amino_acids,False
TYR,0.0,amino_acids,False
ALA,0.0,amino_acids,False
ARG,0.0,amino_acids,False
THR,0.0,amino_acids,False
HIS,0.0,amino_acids,False
MET,0.0,amino_acids,False
TRP,0.0,amino_acids,False
LYS,0.0,amino_acids,False
Hexanal Area,3.99174421246085,aromatics,True
"2,4-Hexadienal Area",3.425467473165722,aromatics,True
trans-2-Hexenal Area,3.174669769297092,aromatics,True
3-Pentanone Area,3.108922120425597,aromatics,True
2-Pentanone Area,3.0729864885346,aromatics,True
Isoamyl acetate Area,3.036277687258779,aromatics,True
2-Methylbutyl acetate Area,3.0340025068673753,aromatics,True
3-Methyl-2-buten-1-ol Area,3.030677153984337,aromatics,True
