Feature,Importance
TRP,0.08129180602006689
GLY,0.07588473483038699
LYS,0.07316889632107022
TYR,0.06635367892976587
ALA,0.06347324414715717
PHE,0.06029670329670328
SER,0.05954682274247491
ILE,0.05376923076923075
MET,0.05125346392737696
THR,0.04907274247491637
VAL,0.048668896321070215
GABA,0.048326923076923066
ASN,0.04705769230769229
ASP,0.045846153846153835
GLU,0.04247658862876254
PRO,0.040877090301003345
HIS,0.025489010989010984
ARG,0.023692307692307686
GLN,0.01839632107023411
CYS,0.014992474916387957
LEU,0.010065217391304346
