Feature,Selection_Frequency,Mean_VIP,Std_VIP,Stable
ASP,1.0,1.6298614319812956,0.0107945265263738,True
GLU,1.0,1.3871282793721647,0.013989594997842062,True
GABA,1.0,1.7078493547991875,0.01548226170023879,True
GLY,1.0,1.4152693979292974,0.01202033991375515,True
GLN,1.0,1.413733187101704,0.013626014935584912,True
ILE,1.0,1.3730104240901648,0.013544458576095111,True
LEU,1.0,1.1657351455745117,0.023250693636760213,True
PRO,1.0,1.4064142177540173,0.03023364965735004,True
VAL,1.0,1.6067570048173851,0.01809048118621624,True
PHE,0.88,1.1380064182060334,0.42040763701760303,True
ALA,0.06,0.08113953305617405,0.32117493564834726,False
CYS,0.06,0.08214163702082913,0.32580743367536213,False
ASN,0.0,0.0,0.0,False
SER,0.0,0.0,0.0,False
ARG,0.0,0.0,0.0,False
HIS,0.0,0.0,0.0,False
THR,0.0,0.0,0.0,False
TYR,0.0,0.0,0.0,False
MET,0.0,0.0,0.0,False
TRP,0.0,0.0,0.0,False
LYS,0.0,0.0,0.0,False
