Feature,Importance
Ethyl vinyl ketone Area,0.02737290969899666
2-Methylbutyl acetate Area,0.026653846153846156
"2,4-Hexadienal Area",0.024692307692307697
Eugenol Area,0.023250000000000007
2-Nonanol Area,0.023000000000000003
Pentyl butyrate Area,0.022934782608695654
Heptanal Area,0.022461538461538467
3-Mercapto-3-methylbutyl formate Area,0.022096153846153852
Isoamyl alcohol Area,0.022065217391304355
Hexanal Area,0.02090384615384616
Octyl acetate Area,0.02084615384615385
trans-2-Heptenal Area,0.020469063545150504
3-Methyl-2-buten-1-ol Area,0.020000000000000004
2-Pentylfuran Area,0.019692307692307696
Propyl acetate Area,0.01821906354515051
Geranyl butyrate Area,0.017000000000000005
Ethyl isobutyrate Area,0.016692307692307697
Nonyl acetate Area,0.016250000000000004
Ethyl valerate Area,0.016219063545150507
Tetrahydrothiophene Area,0.01584615384615385
2-Hexanone Area,0.015500000000000002
2-Heptanone Area,0.015000000000000001
1-Hexanol Area,0.015000000000000001
3-Pentanone Area,0.014903846153846158
1-Octen-3-one Area,0.014219063545150503
Ethyl laurate Area,0.01406521739130435
Neryl acetate Area,0.013780936454849499
(E)-2-Nonenal Area,0.013750000000000002
Ethyl octanoate Area,0.013750000000000002
6-Methyl-5-hepten-2-one Area,0.013000000000000003
1-Nonanol Area,0.013
alpha-Thujone Area,0.012934782608695653
1-Heptanol Area,0.01284615384615385
cis-3-Hexen-1-ol Area,0.01284615384615385
(Z)-4-Heptenal Area,0.01284615384615385
Propyl butyrate Area,0.01284615384615385
Isoamyl butyrate Area,0.01284615384615385
2-Methyl-1-butanol Area,0.012846153846153847
(Z)-hex-2-en-1-ol Area,0.012596153846153847
Guaiacol Area,0.012096153846153848
Heptyl acetate Area,0.011692307692307695
Hexyl acetate Area,0.011692307692307695
Isobutyric acid Area,0.011242474916387961
(E)-2-Octen-1-ol Area,0.011219063545150504
gamma-Terpinene Area,0.010403846153846156
Geranyl isovalerate Area,0.01006521739130435
Methyl isovalerate Area,0.010000000000000002
Isoamyl acetate Area,0.010000000000000002
Ethyl 2-methylbutyrate Area,0.010000000000000002
Benzaldehyde Area,0.010000000000000002
Butyl decanoate Area,0.010000000000000002
3-Hexanone Area,0.010000000000000002
2-Pentanol Area,0.010000000000000002
Propanoic acid Area,0.009596153846153848
Ethyl 3-methylbutanoate Area,0.009153846153846157
2-Ethylfuran Area,0.009153846153846155
trans-2-Penten-1-ol Area,0.008846153846153847
3-Methyl-2-butanone Area,0.008846153846153847
Isopropyl hexanoate Area,0.00830769230769231
Acetal Area,0.00830769230769231
2-Heptanol Area,0.007088628762541806
Butyric acid Area,0.007000000000000002
Butyl 2-methylbutyrate Area,0.007000000000000002
1-Butanol Area,0.007000000000000002
2-Methylpentan-2-ol Area,0.007000000000000002
(3Z)-3-Hexenyl acetate Area,0.007000000000000002
(Z)-beta-Ocimene Area,0.005846153846153847
trans-2-Hexen-1-ol Area,0.005846153846153847
Methyl isobutyl ketone Area,0.005846153846153847
Butyl acetate Area,0.005846153846153847
"2,4-Heptadienal Area",0.004153846153846155
Hexyl butyrate Area,0.004153846153846155
1-Pentanol Area,0.004153846153846155
Allyl isothiocyanate Area,0.004153846153846155
3-Pentanol Area,0.004153846153846155
(E)-Linalool oxide Area,0.004153846153846155
3-Octanone Area,0.0030000000000000005
Ethyl butanoate Area,0.0030000000000000005
"2,6-Nonadienol Area",0.0030000000000000005
"(2E,6Z)-nona-2,6-dienal Area",0.0029999999999999996
2-Pentanone Area,0.002934782608695652
Ethyl benzoate Area,0.002934782608695652
Propyl hexanoate Area,0.002934782608695652
Phenylacetaldehyde Area,0.002934782608695652
(Z)-Linalool oxide Area,0.0
1-Hexen-3-one Area,0.0
"(E,E)-2,4-nonadienal Area",0.0
1-Octen-3-ol Area,0.0
(Z)-2-Penten-1-ol Area,0.0
6-Methoxyeugenol Area,0.0
4-Ethylphenol Area,0.0
Ethyl stearate Area,0.0
Butyl hexanoate Area,0.0
Acetophenone Area,0.0
Acetoin Area,0.0
Pentyl acetate Area,0.0
Tetradecanal Area,0.0
gamma-Undecalactone Area,0.0
trans-2-Hexenal Area,0.0
