Feature,VIP,Important
Hexanal Area,3.363797328751186,True
3-Pentanone Area,3.222118440738094,True
Hexyl acetate Area,3.180528777236631,True
2-Pentanone Area,3.163073707156758,True
2-Nonanol Area,3.1586774386361123,True
2-Methyl-1-butanol Area,3.1443549886190776,True
Isoamyl alcohol Area,3.1333035744317526,True
Propyl butyrate Area,3.0691216917656825,True
"2,4-Hexadienal Area",3.0325430773368005,True
(Z)-2-Penten-1-ol Area,2.980669972520591,True
"(2E,6Z)-nona-2,6-dienal Area",0.0,False
1-Butanol Area,0.0,False
1-Heptanol Area,0.0,False
1-Hexanol Area,0.0,False
(3Z)-3-Hexenyl acetate Area,0.0,False
(E)-2-Nonenal Area,0.0,False
(E)-2-Octen-1-ol Area,0.0,False
(E)-Linalool oxide Area,0.0,False
"(E,E)-2,4-nonadienal Area",0.0,False
1-Pentanol Area,0.0,False
1-Octen-3-one Area,0.0,False
1-Octen-3-ol Area,0.0,False
1-Nonanol Area,0.0,False
2-Ethylfuran Area,0.0,False
2-Heptanol Area,0.0,False
"2,6-Nonadienol Area",0.0,False
"2,4-Heptadienal Area",0.0,False
2-Hexanone Area,0.0,False
2-Heptanone Area,0.0,False
2-Methylpentan-2-ol Area,0.0,False
1-Hexen-3-one Area,0.0,False
(Z)-4-Heptenal Area,0.0,False
(Z)-Linalool oxide Area,0.0,False
(Z)-beta-Ocimene Area,0.0,False
(Z)-hex-2-en-1-ol Area,0.0,False
3-Mercapto-3-methylbutyl formate Area,0.0,False
3-Hexanone Area,0.0,False
2-Pentylfuran Area,0.0,False
2-Pentanol Area,0.0,False
2-Methylbutyl acetate Area,0.0,False
3-Methyl-2-butanone Area,0.0,False
3-Octanone Area,0.0,False
3-Methyl-2-buten-1-ol Area,0.0,False
Acetal Area,0.0,False
Acetoin Area,0.0,False
Acetophenone Area,0.0,False
Allyl isothiocyanate Area,0.0,False
3-Pentanol Area,0.0,False
4-Ethylphenol Area,0.0,False
6-Methoxyeugenol Area,0.0,False
6-Methyl-5-hepten-2-one Area,0.0,False
Butyl hexanoate Area,0.0,False
Butyric acid Area,0.0,False
Ethyl 2-methylbutyrate Area,0.0,False
Ethyl 3-methylbutanoate Area,0.0,False
Ethyl benzoate Area,0.0,False
Ethyl butanoate Area,0.0,False
Ethyl isobutyrate Area,0.0,False
Ethyl laurate Area,0.0,False
Ethyl octanoate Area,0.0,False
Ethyl stearate Area,0.0,False
Ethyl valerate Area,0.0,False
Ethyl vinyl ketone Area,0.0,False
Benzaldehyde Area,0.0,False
Butyl 2-methylbutyrate Area,0.0,False
Butyl acetate Area,0.0,False
Butyl decanoate Area,0.0,False
Guaiacol Area,0.0,False
Geranyl isovalerate Area,0.0,False
Geranyl butyrate Area,0.0,False
Eugenol Area,0.0,False
Heptanal Area,0.0,False
Hexyl butyrate Area,0.0,False
Isoamyl acetate Area,0.0,False
Heptyl acetate Area,0.0,False
Isobutyric acid Area,0.0,False
Isopropyl hexanoate Area,0.0,False
Methyl isobutyl ketone Area,0.0,False
Methyl isovalerate Area,0.0,False
Neryl acetate Area,0.0,False
Nonyl acetate Area,0.0,False
Octyl acetate Area,0.0,False
Isoamyl butyrate Area,0.0,False
Pentyl acetate Area,0.0,False
Pentyl butyrate Area,0.0,False
Propanoic acid Area,0.0,False
Phenylacetaldehyde Area,0.0,False
Propyl acetate Area,0.0,False
Propyl hexanoate Area,0.0,False
Tetradecanal Area,0.0,False
Tetrahydrothiophene Area,0.0,False
alpha-Thujone Area,0.0,False
cis-3-Hexen-1-ol Area,0.0,False
gamma-Terpinene Area,0.0,False
gamma-Undecalactone Area,0.0,False
trans-2-Heptenal Area,0.0,False
trans-2-Hexen-1-ol Area,0.0,False
trans-2-Hexenal Area,0.0,False
trans-2-Penten-1-ol Area,0.0,False
