Feature,Coefficient,Abs_Coefficient
48_SUCC_0.0 : Conc. (nM),0.4911121906249842,0.4911121906249842
53_UMP 0.0 : Conc. (nM),0.48230588018951526,0.48230588018951526
28_GMP 0.0 : Conc. (nM),0.46933183639772147,0.46933183639772147
11_AMP 0.0 : Conc. (nM),0.4585494358051321,0.4585494358051321
SH7P 0.0 : Conc. (nM),-0.44728412356150987,0.44728412356150987
15_CMP 0.0 : Conc. (nM),0.4364242200317589,0.4364242200317589
DHAP_0.0 : Conc. (nM),0.40784021613703625,0.40784021613703625
32_KGA_0.0 : Conc. (nM),0.3905998026276916,0.3905998026276916
2_3PG_0.0 : Conc. (nM),0.35781856579713334,0.35781856579713334
47_SHIK 0.0 : Conc. (nM),0.3557985588079031,0.3557985588079031
51_UDPGA 0.0 : Conc. (nM),0.34792986633407036,0.34792986633407036
19_F16DP_0.0 : Conc. (nM),0.3186218800443872,0.3186218800443872
54_UTP0.0 : Conc. (nM),-0.3155437223667331,0.3155437223667331
13_ATP_0.0 : Conc. (nM),-0.3092762658301204,0.3092762658301204
34_MAL_0.0 : Conc. (nM),0.3045556628629157,0.3045556628629157
30_ISO_0.0 : Conc. (nM),-0.2892832023821881,0.2892832023821881
44_R5P_0.0 : Conc. (nM),0.2853557642211496,0.2853557642211496
4_3DHSA 0.0 : Conc. (nM),0.27278818328108073,0.27278818328108073
35_NAD 0.0 : Conc. (nM),0.24353860775390515,0.24353860775390515
10_ADP 0.0 : Conc. (nM),-0.23459551470955572,0.23459551470955572
55_X5P_0.0 : Conc. (nM),0.22471631801678438,0.22471631801678438
45_RL5P_0.0 : Conc. (nM),0.1946685607518572,0.1946685607518572
CoA Neg 0.0 : Conc. (nM),0.1839804290720119,0.1839804290720119
31_CIT_0.0 : Conc. (nM),-0.17899411982039312,0.17899411982039312
21_FUM_0.0 : Conc. (nM),0.15255432130117808,0.15255432130117808
8_ACoA_0.0 : Conc. (nM),-0.15177297648150948,0.15177297648150948
23_G6P_0.0 : Conc. (nM),-0.13941207952900533,0.13941207952900533
49_UDP 0.0 : Conc. (nM),-0.13480449790283566,0.13480449790283566
33_LAC_0.0 : Conc. (nM),0.10427345544090874,0.10427345544090874
22_G1P_0.0 : Conc. (nM),-0.08238557893586995,0.08238557893586995
57_G3P_0.0 : Conc. (nM),0.07007301925964698,0.07007301925964698
6_6PG_0.0 : Conc. (nM),0.053443502044030006,0.053443502044030006
20_F6P_0.0 : Conc. (nM),0.050556946225560014,0.050556946225560014
