Feature,Selection_Frequency,Mean_VIP,Std_VIP,Stable
33_LAC_0.0 : Conc. (nM),1.0,2.147692868622623,0.23039528857033584,True
48_SUCC_0.0 : Conc. (nM),1.0,1.6320980756965497,0.2573398758884467,True
11_AMP 0.0 : Conc. (nM),0.99,1.6814959991905105,0.1912872095679609,True
19_F16DP_0.0 : Conc. (nM),0.98,2.233621754565023,0.45224560027784827,True
54_UTP0.0 : Conc. (nM),0.96,1.3968820867653045,0.31125574814657925,True
DHAP_0.0 : Conc. (nM),0.96,1.640359781004659,0.3456108206532394,True
13_ATP_0.0 : Conc. (nM),0.95,1.6468505180126574,0.4651940700412164,True
15_CMP 0.0 : Conc. (nM),0.87,1.4256338114959874,0.5545283168911103,True
21_FUM_0.0 : Conc. (nM),0.72,1.549885771776026,1.021169976905186,False
32_KGA_0.0 : Conc. (nM),0.55,0.9891928005841275,0.901894482106019,False
47_SHIK 0.0 : Conc. (nM),0.46,0.6805420111684249,0.7400690679251032,False
10_ADP 0.0 : Conc. (nM),0.31,0.43540026586856384,0.6553388413155997,False
8_ACoA_0.0 : Conc. (nM),0.1,0.14424472519394357,0.4339862016251015,False
6_6PG_0.0 : Conc. (nM),0.07,0.09701715025608117,0.3571021588194791,False
28_GMP 0.0 : Conc. (nM),0.03,0.04721105406620845,0.2686380316280951,False
SH7P 0.0 : Conc. (nM),0.02,0.032635475867244794,0.22845796088706258,False
44_R5P_0.0 : Conc. (nM),0.02,0.03301646924846817,0.23131020781169423,False
45_RL5P_0.0 : Conc. (nM),0.01,0.015762745156095173,0.15683733404627917,False
49_UDP 0.0 : Conc. (nM),0.0,0.0,0.0,False
55_X5P_0.0 : Conc. (nM),0.0,0.0,0.0,False
35_NAD 0.0 : Conc. (nM),0.0,0.0,0.0,False
4_3DHSA 0.0 : Conc. (nM),0.0,0.0,0.0,False
53_UMP 0.0 : Conc. (nM),0.0,0.0,0.0,False
CoA Neg 0.0 : Conc. (nM),0.0,0.0,0.0,False
51_UDPGA 0.0 : Conc. (nM),0.0,0.0,0.0,False
22_G1P_0.0 : Conc. (nM),0.0,0.0,0.0,False
20_F6P_0.0 : Conc. (nM),0.0,0.0,0.0,False
57_G3P_0.0 : Conc. (nM),0.0,0.0,0.0,False
23_G6P_0.0 : Conc. (nM),0.0,0.0,0.0,False
34_MAL_0.0 : Conc. (nM),0.0,0.0,0.0,False
2_3PG_0.0 : Conc. (nM),0.0,0.0,0.0,False
31_CIT_0.0 : Conc. (nM),0.0,0.0,0.0,False
30_ISO_0.0 : Conc. (nM),0.0,0.0,0.0,False
